,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCB10,1483.44155508834,-0.130122401314847,0.0688255074621471,-1.89061303160623,0.0586760193803753,0.122274761216597
ABCB11,1.2162754957169,0.00266968906307939,0.102514102727854,0.0260421638783366,0.979223707931924,NA
ABCB4,137.150390249508,0.623614483352198,0.138692503871992,4.49638203898728,6.91194972518862e-06,4.56373075024075e-05
ABCB5,4.24663741101449,-0.0951742680790928,0.162488224128307,-0.585730249620673,0.558056802798236,0.686125084578442
ABCB6,246.003743077997,0.128818971470133,0.112229922279058,1.14781306851328,0.251045741189572,0.382576003576048
ABCB7,1427.08599140776,0.21668748413728,0.0578282528361282,3.74708682192634,0.000178900177745283,0.000829972849607836
ABCB8,1030.24384337276,-0.109220921534915,0.0825465021986802,-1.32314415057869,0.185787444686234,0.305162182900918
ABCB9,205.677987864865,-0.285967366543706,0.12176606585305,-2.3484980362987,0.0188492985910885,0.0475379485078634
ABCC1,1824.13634490054,0.00371765041996959,0.0556114455834644,0.0668504546315014,0.946700756225225,0.96781143966225
ABCC10,575.224113137901,-0.0428555665823279,0.0805339804084378,-0.532142660340154,0.594627192771927,0.716368109294891
ABCC11,14.503334785599,-0.0458894745177079,0.206582205129732,-0.222136628316508,0.824207524806252,0.885868529919076
ABCC12,0.584923854060932,-0.0251479475103502,0.073069514274952,-0.344164700694758,0.73072242729635,NA
ABCC13,0.111548257819013,0.00946596121729829,0.0419530046211384,0.225632497666896,0.821487263073871,NA
ABCC2,93.4689746063509,-0.451797198379362,0.155293765424328,-2.90930673968051,0.00362231265254945,0.0116638038989543
ABCC3,2.20605463984553,-0.0319131489233299,0.132278425128571,-0.241257400005415,0.809355625660849,NA
ABCC4,670.039738112471,-0.111141863406945,0.0751932138397307,-1.47808369574196,0.139385377527354,0.244522722413688
ABCC5,2012.89642223321,-0.107611630711533,0.0578443708823236,-1.86036478692894,0.0628339331258311,0.12913843704208
ABCC6,87.8078117125294,0.396243476037931,0.159683560910341,2.48142935803149,0.0130856645119227,0.035041693410206
ABCC6P1,24.8900219262557,0.475551537395005,0.204620903228922,2.32406137345106,0.0201222048991484,0.0501749682533337
ABCC6P2,7.00005077562097,0.307161324193214,0.187646699006569,1.63691301695886,0.101648645684065,0.190220028325032
ABCC8,59.7707057622567,0.127112257908269,0.18172187443224,0.699487930693047,0.48424715306388,0.621478413364117
ABCC9,3.9096435063225,0.110523905209008,0.154803532502663,0.713962423351721,0.475250415549015,0.612966090642965
ABCD1,232.738821409769,-0.148213000695716,0.125972907955323,-1.17654663293381,0.239376509148508,0.369445887843999
ABCD2,43.9193595855086,0.173097350102709,0.186993801865843,0.92568496054696,0.354609725910783,0.495203611615637
ABCD3,3040.32256839294,-0.141248442785457,0.0686568742029598,-2.05730954729901,0.039656459574263,0.0886288503414402
ABCD4,1188.28208469848,-0.134106549980141,0.0649658137372094,-2.06426337585196,0.0389927514859078,0.0874086174725271
ABCE1,4177.09178592896,-0.15514996736521,0.0609334538479045,-2.54621981141063,0.0108896592923023,0.0299970631601617
ABCF1,5876.27028171906,-0.29021313330045,0.048734417598019,-5.95499336206794,2.60082386606057e-09,3.52800754429036e-08
ABCF2,3488.6483291508,-0.47437498800823,0.0513450800421505,-9.23895702604424,2.48911571891154e-20,2.06394442986904e-18
ABCF3,984.473363396655,-0.100409450161907,0.0706758371396995,-1.42070407971872,0.155402805999968,0.265700736446459
ABCG1,111.541849399807,0.31673271606238,0.141744712743011,2.23452931635362,0.0254482658113398,0.0612851867946685
ABCG2,209.049253101372,-0.466412875260156,0.117911190927385,-3.95562856749867,7.63336824921574e-05,0.000388324728592149
ABCG4,140.586336219679,0.206806803871193,0.138629770518599,1.4917921532839,0.135753641624479,0.23937130137477
ABCG5,1.71741120605671,-0.142182312404868,0.118090518269382,-1.20401124907022,0.228585230704506,NA
ABCG8,1.73302068259441,0.113505838672897,0.119487310827491,0.949940524117832,0.342142474243743,NA
ABHD1,44.2981245721998,0.44719692828568,0.191914702440104,2.3301858721598,0.0197963293494845,0.0495267186308419
ABHD10,2173.41881026397,-0.0213016197667161,0.064344873221627,-0.331053877336049,0.740603789579282,0.828840977170291
ABHD11,495.217133447369,-0.0557128241444519,0.085973500920227,-0.648023211200236,0.516969937767371,0.650443189819764
ABHD11-AS1,1.86087841347484,-0.160592829918542,0.112691212012591,-1.42506968423233,0.154137058834643,NA
ABHD12,963.585937483782,-0.0338971764969555,0.0729706486303083,-0.464531659416774,0.642266882396131,0.754789440401409
ABHD12B,0,NA,NA,NA,NA,NA
ABHD13,606.996501380717,0.358113115751303,0.0802967693297529,4.45986954071151,8.20095569330971e-06,5.33078437127792e-05
ABHD14A,101.368408648678,-0.0202606441744285,0.161759878894145,-0.125251355978617,0.900324561129605,0.939176117428467
ABHD14A-ACY1,0,NA,NA,NA,NA,NA
ABHD14B,493.725923706948,0.762760618809005,0.0977777438781447,7.80096357878326,6.14362436084031e-15,2.3123526252149e-13
ABHD15,468.170839914062,0.123190510629275,0.0857122454701536,1.43725683481449,0.150645029067309,0.25924847764586
ABHD16A,461.890661751839,0.0269668991486927,0.0865003443745686,0.311754818361406,0.755226863565068,0.840141025356536
ABHD16B,1.31644416291795,-0.0637696145805924,0.107712206385289,-0.592037028305662,0.553825793237837,NA
ABHD2,2097.45364271488,0.098817292034124,0.0543503580737543,1.81815346828125,0.0690406797174008,0.139214850411522
ABHD3,686.751264863436,-0.119048620731619,0.0791829481506592,-1.50346284789887,0.132719730456605,0.234909177268247
ABHD4,461.441432412918,0.0897242460882927,0.090780671995937,0.988362876321388,0.322974961933407,0.462464586534205
ABHD5,937.328240775437,-0.0541295726875851,0.0786528380912989,-0.688208766538753,0.491321324156251,0.627206457493933
ABHD6,244.645937940153,0.237795317509293,0.107643839941451,2.20909359642534,0.0271681314417751,0.0647114941821808
ABHD8,541.460044120596,-0.1456763717924,0.0889221099854917,-1.63824690862788,0.101370197853108,0.189840679188634
ABI1,1526.69918737569,0.0540759280908513,0.0638548780680779,0.846856649435601,0.397075028011127,0.538901676849598
ABI2,3996.00403926793,-0.0871770722411372,0.047218176598031,-1.84626087922193,0.0648543351226372,0.132424445528535
ABI3,2.38697825400655,0.0852641043157275,0.133008860284442,0.641040785804708,0.521496184433649,NA
ABI3BP,40.7900980372836,0.654683426287128,0.195327466442854,3.35172230618506,0.000803105311938198,0.00312722890834576
ABL1,2763.60417340323,-0.201439512360533,0.0502865256189467,-4.00583476152179,6.17988412129124e-05,0.000322210045072749
ABL2,1755.78005845498,0.685085667107417,0.0638869378471902,10.7234074787879,7.9036789132872e-27,1.27828311929254e-24
